"Nom de domaine";"Pays BE";"Departement BE";"Ville BE";"Nom BE";"Sous domaine";"Type du titulaire";"Pays titulaire";"Departement titulaire";"Domaine IDN";"Date de création";"Date de retrait du WHOIS"
aaacl.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;78;0;21-08-2014;
aaacm.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;05;0;13-06-2018;
aaacnil.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;06-04-2017;
aaacollections.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;25-02-2013;15-06-2018
aaacommunication.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;33;0;28-05-2013;
aaa-comparateur.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-06-2016;
aaa-conseil.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;62;0;13-06-2013;29-04-2018
aaaconsult.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;89;0;02-03-2013;
aaaconsulting.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;75;0;11-12-2001;18-02-2019
aaa-convoyage.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;86;0;24-05-2012;25-06-2015
aaa-cool.fr;DK;99;COPENHAGUE V;One.com A/S;fr;ORG;CY;99;0;13-03-2020;
aaacool.fr;DK;99;COPENHAGUE V;One.com A/S;fr;ORG;CY;99;0;13-03-2020;
aaacorner.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;11-09-2019;
aaacorner-paris75-clichy92.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;11-09-2019;
aaa-courtage.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;72;0;20-09-2007;
aaacousticien.fr;FR;75;PARIS;NAMESHIELD;fr;ORG;FR;75;0;02-02-2011;
aaacredit.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;26-02-2015;27-04-2017
aaacube.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;38;0;26-10-2012;
aaac33.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;33;0;04-03-2019;04-04-2020
aaa-data.fr;FR;75;PARIS CEDEX 15;ORANGE;fr;ORG;FR;75;0;10-03-2009;
aaadata.fr;FR;75;PARIS CEDEX 15;ORANGE;fr;ORG;FR;75;0;10-03-2009;
aaadc.fr;CH;99;LES ACACIAS;Infomaniak Network SA;fr;PERSON;FR;49;0;23-04-2019;
aaa-depannage-soufflet.fr;FR;75;PARIS;GANDI;fr;ORG;FR;59;0;03-12-2009;
aaadep-electrite.fr;FR;59;ROUBAIX;OVH;fr;;;;0;07-02-2013;08-04-2014
aaa-devis.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-06-2016;
aaad.fr;FR;75;PARIS;PLANET-WORK;fr;PERSON;FR;34;0;04-09-2001;
aa-adhesifs.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;59;0;24-03-2020;
aaadiag.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;13;0;17-05-2012;15-06-2016
aaadiagnosticsimmobilier.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;97;0;27-08-2020;
aaa-dijon.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;21;0;04-12-2012;
aaadistance.fr;FR;69;LYON;FRANCELINK - FLK MEDIA;fr;ORG;FR;59;0;09-10-2015;14-10-2018
aaa-domicigestion.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;54;0;04-04-2019;02-06-2020
aaadomicile.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;28-03-2019;
aaa-domiciliation.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;54;0;27-03-2019;05-05-2019
aaadrieeen.fr;FR;75;PARIS;SCALEWAY;fr;;;;0;17-06-2013;19-07-2014
aa-adssi.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;11-07-2018;08-09-2019
aaa-du-lyonnais.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;03-10-2012;
aaadvigilance.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;06;0;18-02-2013;18-04-2018
aaadvisors.fr;FR;75;PARIS;IP TWINS SAS;fr;ORG;FR;75;0;24-02-2000;
aaa-ebabx.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;33;0;26-05-2020;
aaa-eco-immo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;85;0;25-06-2020;
aaaeco-immo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;85;0;19-06-2020;
aaaee.asso.fr;FR;59;ROUBAIX;OVH;asso.fr;ORG;FR;75;0;15-01-2001;
aaaee-ensci.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;87;0;29-06-2020;
aaae.fr;FR;38;GRENOBLE;PHPNET FRANCE SARL;fr;PERSON;FR;75;0;27-07-2006;
aaaeisaintlouis.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;14-03-2018;
aaa-electricien.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-01-2020;
aaaellk.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;FR;78;0;02-11-2014;07-04-2017
aaaelt.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;59;0;25-11-2009;
aaa-energies.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;88;0;25-10-2012;24-12-2014
aaa-entreprise.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-06-2016;
aaaep.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;19-04-2013;
aaaep-professionnel.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;30-08-2019;
aaaeqlio.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;22-03-2014;21-05-2015
aaaesoterisme.fr;FR;69;VILLEURBANNE;ELB MULTIMEDIA;fr;PERSON;FR;62;0;08-11-2013;22-01-2018
aaa-event.fr;FR;93;MONTREUIL SOUS BOIS CEDEX;CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS MAGIC ON LINE;fr;PERSON;FR;60;0;13-10-2016;06-08-2020
aaa-experts.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;94;0;14-11-2009;
aaaf.asso.fr;FR;83;GAREOULT;ACTION GIRATOIRE;asso.fr;ORG;FR;75;0;31-12-1996;
aaafasso.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;63;0;04-02-2014;
aaaf.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;64;0;05-10-2004;
aaafiduciaire.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;94;0;28-03-2017;
aaafinance.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;67;0;07-01-2013;29-03-2016
aaafinances.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;06;0;27-02-2020;
aaa-finance-solution.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;03-10-2017;02-12-2019
aaafincances.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;06;0;27-02-2020;
aaaf-jeunes.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;69;0;01-05-2014;
aaaformation.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;62;0;10-03-2014;
aaa-formations.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;01;0;09-03-2019;
aaaformations.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;57;0;25-02-2019;
a-a-a.fr;FR;93;MONTREUIL SOUS BOIS CEDEX;CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS MAGIC ON LINE;fr;ORG;FR;11;0;10-07-2007;
a-aa.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;28-01-2010;
aa-a.fr;CZ;99;PRAGUE 3;GRANSY s.r.o.;fr;PERSON;FR;84;0;28-10-2008;
aaa.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;92;0;28-01-1999;
aaafreeclassifieds.fr;SG;99;SINGAPORE;Dreamscape Networks International Pte Ltd;fr;PERSON;AU;99;0;27-08-2015;27-10-2016
aaafrenchyachting.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;83;0;11-12-2012;
aa-africa.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;14-05-2007;08-07-2017
aaafx.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;47;0;19-10-2010;16-01-2019
aaageii.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;08-10-2017;
aa-agency.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;94;0;03-03-2016;03-04-2017
a-a-a-g.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;33;0;22-04-2009;
aaa-g.fr;FR;59;ROUBAIX;OVH;fr;ORG;MQ;972;0;09-06-2018;
aaag.fr;FR;75;PARIS;GANDI;fr;ORG;FR;91;0;21-12-2007;
aaagign.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;94;0;14-12-2017;01-03-2020
aaagis.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;30;0;16-05-2011;
aaagis-recrutement-outplacement.fr;FR;75;PARIS;GANDI;fr;ORG;FR;30;0;28-01-2013;
aaagreenpartners.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;30-07-2010;
aaa-groupe.fr;FR;69;VILLEURBANNE;ELB MULTIMEDIA;fr;ORG;FR;87;0;20-11-2002;15-12-2016
aaagroupe.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;87;0;18-10-2016;
aaaguadeloupe.fr;FR;59;ROUBAIX;OVH;fr;ORG;MQ;972;0;09-06-2018;
aaahandicap.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;57;0;21-05-2019;
aaah.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;63;0;27-03-2008;
aaahh.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;39;0;25-01-2016;25-02-2018
aaah-prod.fr;CH;99;LES ACACIAS;Infomaniak Network SA;fr;PERSON;FR;92;0;16-10-2017;
aaahv.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;54;0;25-10-2019;
aaa-ic.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;06;0;28-11-2010;
aaaic.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;06;0;26-08-2010;
aaa-iclass.fr;FR;59;ROUBAIX;OVH;fr;;;;0;30-04-2013;29-06-2014
aa-ai.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;14-10-2014;13-12-2017
aaai.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;17-05-2006;
aaa-im.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;06;0;29-11-2010;
aaaim.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;06;0;25-10-2010;
aaaimmobilier.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;28-03-2012;27-04-2019
aaa-industries.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;PERSON;CH;99;0;24-09-2008;
aaa-informatique.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;;;;0;10-04-2013;08-06-2014
aaa-institutionnel.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;06;0;12-09-2016;
aaa-international.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;78;0;25-09-2011;25-10-2014
aaainternational.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;78;0;25-09-2011;25-10-2014
aaaintl.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;76;0;31-10-2001;
aaai-plus.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;06;0;06-03-2013;05-05-2016
aaairlines.fr;FR;59;ROUBAIX;OVH;fr;;;;0;24-06-2013;23-08-2014
aaairsoft.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;63;0;22-05-2007;30-10-2017
aaa-isolation.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;93;0;22-05-2017;21-07-2019
aaajordan.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;FR;Anomalie;0;29-07-2013;26-08-2014
aaak.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;26-10-2016;
aaalabequipment.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;NL;99;0;30-04-2014;
aaa-laguiole.fr;FR;75;PARIS;GANDI;fr;ORG;FR;12;0;17-11-2011;14-01-2015
aaalangues.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;14-05-2019;25-07-2020
aaalatest.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;13-05-2018;
aaalat-languedoc-roussillon.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;34;0;10-06-2012;
aaalborg.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;ORG;FR;75;0;28-12-2000;31-10-2016
aaalc.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;59;0;25-01-2014;23-02-2016
aaalfa.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;09-12-2019;
aaal.fr;GB;99;LONDON;TLD Registrar Solutions Ltd;fr;PERSON;FR;63;0;11-04-2007;
aaalimo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-02-2009;09-04-2020
aaalimos.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-02-2009;09-04-2020
aaalimousine.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-02-2009;09-04-2020
aaalimousines.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-02-2009;10-04-2014
aaallo-guepes-frelons.fr;NL;99;ZWOLLE;Realtime Register B.V.;fr;ORG;FR;77;0;23-07-2019;
aaallopv.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;09-03-2015;08-05-2017
aaa-location-voiture-prestige.fr;FR;59;ROUBAIX;OVH;fr;PERSON;GB;99;0;14-04-2011;09-03-2019
aaalp.fr;DE;99;HOMBURG;1API GmbH;fr;ORG;GB;99;0;28-05-2017;
aaalsace.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;30-03-2013;29-05-2015
aaalt.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;06;0;20-02-2016;21-04-2017
aaalto.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;08;0;07-01-2014;
aa-alu.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;13;0;13-06-2019;
aaa-lux.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;27-03-2013;
aaalux.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;34;0;03-09-2012;02-11-2014
aaa-luxfrance.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;06;0;30-08-2013;04-07-2015
aaa-lux-lighting.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;ORG;NL;99;0;23-07-2014;
aaaluxurygroup.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;06;0;28-11-2012;30-12-2016
aaalyon.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;15-03-2016;
aaam-archi.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;69;0;06-02-2014;07-03-2020
aaa-marine.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;06-04-2018;
aaamartinique.fr;FR;59;ROUBAIX;OVH;fr;ORG;MQ;972;0;09-06-2018;
aaa-massy.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;91;0;04-01-2016;03-02-2017
aaa-mediane.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;75;0;05-05-2011;03-07-2015
aaa-meilleure-mutuelle.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;06-06-2016;05-08-2020
aaamenagement.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;59;0;16-02-2007;
aaa-m.fr;FR;59;ROUBAIX;OVH;fr;ORG;MQ;972;0;09-06-2018;
aaam.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;FR;47;0;25-07-2013;
aaa-military.fr;FR;69;VILLEURBANNE;ELB MULTIMEDIA;fr;PERSON;FR;75;0;22-11-2010;23-12-2017
aaamin.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;59;0;05-06-2017;
aaamma.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;80;0;08-04-2014;07-06-2019
aaamobil.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;92;0;22-04-2019;
aaamontpellier.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;34;0;07-06-2012;
aaamontre.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;ES;99;0;15-06-2020;
aaamour.fr;FR;59;ROUBAIX;OVH;fr;ORG;BE;99;0;20-07-2018;18-09-2019
aaamt.asso.fr;MC;99;MONACO;NAMEBAY;asso.fr;ORG;FR;06;0;21-12-2010;
aaa-mutuelle.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-06-2016;
aa-analytics.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;76;0;21-12-2017;
aaanews.fr;FR;59;ROUBAIX;OVH;fr;;;;0;07-01-2013;08-03-2014
aaan.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;57;0;07-03-2013;06-05-2015
aa-angelart.fr;GB;99;LONDON;TLD Registrar Solutions Ltd;fr;PERSON;FR;60;0;26-09-2012;
aaanimation.fr;BE;99;RANST;NameWeb bvba;fr;PERSON;BE;99;0;06-10-2010;22-01-2020
aaanim.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;33;0;01-07-2020;
aaanjou.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;49;0;18-04-2014;
aaan-lca.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;30;0;07-12-2015;
aaanpd.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;PERSON;DE;99;0;11-07-2009;09-09-2017
aaantilles.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;97;0;10-01-2015;
aaaoc.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;26;0;09-10-2019;
aaaooo.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;93;0;13-03-2016;11-05-2017
aaaoz.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;93;0;10-02-2020;
aaa-paca.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;03-01-2008;
aaapaddp.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;92;0;16-05-2017;19-05-2017
aaa-paris.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;75;0;10-09-2012;09-10-2015
